Assay	CAS	Sample Name	ReplicateSet	Curve Class	CONC0	CONC1	CONC2	CONC3	CONC4	CONC5	CONC6	CONC7	CONC8	CONC9	CONC10	CONC11	CONC12	CONC13	CONC14	RESP0	RESP1	RESP2	RESP3	RESP4	RESP5	RESP6	RESP7	RESP8	RESP9	RESP10	RESP11	RESP12	RESP13	RESP14	mask0	mask1	mask2	mask3	mask4	mask5	mask6	mask7	mask8	mask9	mask10	mask11	mask12	mask13	mask14
tox21-ar-bla-agonist	NOCAS_49561	NTP Mix31 AR2 7-EQC	2	1.1	4.904e-10	1.097e-9	2.452e-9	5.4829999999e-9	1.226e-8	2.742e-8	6.13e-8	1.371e-7	3.065e-7	6.8539999999e-7	1.5329999999e-6	3.427e-6	7.663e-6	1.7129999999e-5	3.831e-5	-1.07186269	1.41473114	3.33846588	6.74491199	19.11598356	45.80246107	64.57785021	67.60559299	74.37276788	88.49012766	97.61188418	118.88154845	130.92649036	131.67507059	139.53011091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-ar-bla-agonist	NOCAS_49497	NTP Mix4 AR1 8-EQC	2	2.2	4.904e-10	1.097e-9	2.452e-9	5.4829999999e-9	1.226e-8	2.742e-8	6.13e-8	1.371e-7	3.065e-7	6.8539999999e-7	1.5329999999e-6	3.427e-6	7.663e-6	1.7129999999e-5	3.831e-5	0.28803236	0.3074845	0.6280808	-1.09886768	0.23087187	-1.86663758	-0.03432954	0.24447783	0.35798638	0.81553213	-0.18736183	4.98059516	12.70628371	23.01258478	40.78060561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-ar-bla-agonist	NOCAS_49549	NTP Mix94 ER AR1 18-EQP	2	1.1	4.904e-10	1.097e-9	2.452e-9	5.4829999999e-9	1.226e-8	2.742e-8	6.13e-8	1.371e-7	3.065e-7	6.8539999999e-7	1.5329999999e-6	3.427e-6	7.663e-6	1.7129999999e-5	3.831e-5	-2.22248941	0.11071579	2.21849218	2.29749392	8.55781647	18.78154561	34.71225592	50.93475594	69.30937922	71.55147332	76.23786278	92.43364741	92.17559598	97.62264045	107.24984516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-ar-bla-agonist	NOCAS_49555	NTP Mix25 AR2 2-EQP	2	4	4.904e-10	1.097e-9	2.452e-9	5.4829999999e-9	1.226e-8	2.742e-8	6.13e-8	1.371e-7	3.065e-7	6.8539999999e-7	1.5329999999e-6	3.427e-6	7.663e-6	1.7129999999e-5	3.831e-5	1.97539911	-0.01774703	-5.26318349	0.07175923	-3.96465051	0.07840446	-0.13311148	-3.97553074	-5.68288434	0.87393844	0.11641243	0.25345428	-4.13593423	0.01106221	0.04288588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-ar-bla-agonist	434-07-1	Oxymetholone	2	1.1	9.885e-10	2.21e-9	4.943e-9	1.105e-8	2.4709999999e-8	5.5259999999e-8	1.236e-7	2.7629999999e-7	6.178e-7	1.3819999999e-6	3.089e-6	6.908e-6	1.545e-5	3.454e-5	7.723e-5	1.12756534	8.47096498	2.82674694	6.2598609099999996	11.85325068	29.7155357	40.98366012	52.76947388	55.18061536	72.07382345	73.37164952	73.72317173	58.0517439	10.38920099	-49.29966225	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
tox21-ar-bla-agonist	NOCAS_49520	NTP Mix100 ER1 10-EQC	2	-3	4.904e-10	1.097e-9	2.452e-9	5.4829999999e-9	1.226e-8	2.742e-8	6.13e-8	1.371e-7	3.065e-7	6.8539999999e-7	1.5329999999e-6	3.427e-6	7.663e-6	1.7129999999e-5	3.831e-5	-2.45358202	0.50781501	-0.30576097	-2.04731586	1.54687064	-2.79787207	0.97622158	-0.02576241	-0.43763324	-7.18777501	0.21348317	0.22013727	-2.74283536	-35.64636643	-7.20149395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
tox21-ar-bla-agonist	NOCAS_49545	NTP Mix90 ER AR1 18-EQP	2	1.1	4.904e-10	1.097e-9	2.452e-9	5.4829999999e-9	1.226e-8	2.742e-8	6.13e-8	1.371e-7	3.065e-7	6.8539999999e-7	1.5329999999e-6	3.427e-6	7.663e-6	1.7129999999e-5	3.831e-5	0.35140444	-4.59671233	30.06297732	12.36941144	25.98808333	49.06403296	78.73550348	71.54846512	79.36788087	79.08167177	95.41696382	107.58887589	120.66036192	126.36603746	136.59430232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-ar-bla-agonist	NOCAS_49513	NTP Mix20 AR1 8-EQC	2	1.1	4.904e-10	1.097e-9	2.452e-9	5.4829999999e-9	1.226e-8	2.742e-8	6.13e-8	1.371e-7	3.065e-7	6.8539999999e-7	1.5329999999e-6	3.427e-6	7.663e-6	1.7129999999e-5	3.831e-5	-0.43408066	0.0697658	-3.85142098	0.18907753	4.74924692	2.47560931	8.88413889	25.94190801	44.11273034	45.16305231	62.78439433	63.58398214	85.08830306	86.22823819	99.03516185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-ar-bla-agonist	85-68-7	Benzyl butyl phthalate	2	-2.4	9.7909999999e-10	2.1889999999e-9	4.896e-9	1.0949999999e-8	2.4479999999e-8	5.473e-8	1.2239999999e-7	2.7369999999e-7	6.1199999999e-7	1.368e-6	3.06e-6	6.8419999999e-6	1.53e-5	3.421e-5	7.649e-5	0.50603907	0.10876404	0.48254892	0.02666501	-0.00245873	-0.17651194	3.341729	0.08105807	0.10903578	-3.32156713	-0.01659375	0.07862119	-2.70536563	-0.00239038	-23.01584334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-ar-bla-agonist	NOCAS_49536	NTP Mix116 ER1 10-EQC	2	4	4.904e-10	1.097e-9	2.452e-9	5.4829999999e-9	1.226e-8	2.742e-8	6.13e-8	1.371e-7	3.065e-7	6.8539999999e-7	1.5329999999e-6	3.427e-6	7.663e-6	1.7129999999e-5	3.831e-5	0.07155041	-0.1754891	23.34759925	0.00386859	4.04329724	-1.2971317	-0.94517093	-1.32979993	-3.19695934	0.27581468	-0.03628664	-0.11424264	-1.00155843	-1.1821992	-14.71942826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
