Assay	CAS	Sample Name	ReplicateSet	Curve Class	CONC0	CONC1	CONC2	CONC3	CONC4	CONC5	CONC6	CONC7	CONC8	CONC9	CONC10	CONC11	CONC12	CONC13	CONC14	RESP0	RESP1	RESP2	RESP3	RESP4	RESP5	RESP6	RESP7	RESP8	RESP9	RESP10	RESP11	RESP12	RESP13	RESP14	mask0	mask1	mask2	mask3	mask4	mask5	mask6	mask7	mask8	mask9	mask10	mask11	mask12	mask13	mask14
tox21-er-bla-agonist	NOCAS_49528	NTP Mix108 ER1 10-EQC	2	2.2	4.9e-10	1.1e-9	2.4499999999e-9	5.4799999999e-9	1.23e-8	2.74e-8	6.13e-8	1.37e-7	3.07e-7	6.85e-7	1.53e-6	3.43e-6	7.66e-6	1.71e-5	3.8299999999e-5	-0.37634211	0.72506748	-0.50318628	-0.05034613	-0.36357485	-0.54251076	0.39669588	-0.0248942	0.53137482	0.55895173	2.72829532	4.03330186	14.25764511	22.13927281	37.45388644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-er-bla-agonist	NOCAS_49505	NTP Mix12 AR1 8-EQC	3	4	4.9e-10	1.1e-9	2.4499999999e-9	5.4799999999e-9	1.23e-8	2.74e-8	6.13e-8	1.37e-7	3.07e-7	6.85e-7	1.53e-6	3.43e-6	7.66e-6	1.71e-5	3.8299999999e-5	0.63247413	-0.43749173	0.02282366	-0.20787123	-0.37194324	-0.39534667	1.60672087	-0.64295532	1.10058605	0	5.26539313	1.26059547	3.31024679	1.94718969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
tox21-er-bla-agonist	NOCAS_49560	NTP Mix29 AR2 5-EQP-HF	3	4	4.9e-10	1.1e-9	2.4499999999e-9	5.4799999999e-9	1.23e-8	2.74e-8	6.13e-8	1.37e-7	3.07e-7	6.85e-7	1.53e-6	3.43e-6	7.66e-6	1.71e-5	3.8299999999e-5	-0.08667657	-0.14143188	0.90404681	0.5651054	1.45403699	0.67580072	1.03193566	1.01771473	3.62199607	4.81381938	12.9381999	-0.42715029	-0.9965116	-1.1167811	3.75355439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-er-bla-agonist	NOCAS_49494	NTP Mix1 AR1 4-EQP	3	3	4.9e-10	1.1e-9	2.4499999999e-9	5.4799999999e-9	1.23e-8	2.74e-8	6.13e-8	1.37e-7	3.07e-7	6.85e-7	1.53e-6	3.43e-6	7.66e-6	1.71e-5	3.8299999999e-5	0.79247152	0.51462282	0.9453153	-0.50202033	0.66985646	-0.48966917	2.28707564	0.29694738	0.90744102	4.36929153	12.12803201	-1.36873156	-0.03548616	0.68132919	19.04650892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-er-bla-agonist	NOCAS_49533	NTP Mix113 ER1 10-EQC	3	2.2	4.9e-10	1.1e-9	2.4499999999e-9	5.4799999999e-9	1.23e-8	2.74e-8	6.13e-8	1.37e-7	3.07e-7	6.85e-7	1.53e-6	3.43e-6	7.66e-6	1.71e-5	3.8299999999e-5	7.27786537	-0.12551776	0.15555821	3.05482156	1.18311004	2.25569068	1.57001726	0.60257649	0.78878567	3.20516378	5.51380994	0.50221634	3.63882026	6.91955523	29.43525685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-er-bla-agonist	NOCAS_49497	NTP Mix4 AR1 8-EQC	3	4	4.9e-10	1.1e-9	2.4499999999e-9	5.4799999999e-9	1.23e-8	2.74e-8	6.13e-8	1.37e-7	3.07e-7	6.85e-7	1.53e-6	3.43e-6	7.66e-6	1.71e-5	3.8299999999e-5	0.7876607	-0.17572486	0.06501169	-0.12244398	-1.33442826	-0.15526096	-0.03573556	-0.39655192	-0.54247974	0.03317074	-1.29553098	-0.46279624	-0.80770497	-0.7475575	-1.00149109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-er-bla-agonist	NOCAS_49529	NTP Mix109 ER1 10-EQC	3	3	4.9e-10	1.1e-9	2.4499999999e-9	5.4799999999e-9	1.23e-8	2.74e-8	6.13e-8	1.37e-7	3.07e-7	6.85e-7	1.53e-6	3.43e-6	7.66e-6	1.71e-5	3.8299999999e-5	0.4905938	0.12551776	-0.5044673	0.00450817	0.21331764	1.01274728	0.35421518	0.09110177	-0.16938899	-0.06171316	3.61135913	2.40135309	2.91664145	4.39656619	19.27061985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-er-bla-agonist	NOCAS_49532	NTP Mix112 ER1 10-EQC	3	3	4.9e-10	1.1e-9	2.4499999999e-9	5.4799999999e-9	1.23e-8	2.74e-8	6.13e-8	1.37e-7	3.07e-7	6.85e-7	1.53e-6	3.43e-6	7.66e-6	1.71e-5	3.8299999999e-5	1.04083548	0.60167719	0.99764314	0.43051227	1.08105744	1.7603127	1.50584464	0.24281477	-0.20242163	2.54365631	4.63828945	0.52513727	2.58436043	2.86138096	15.6500994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-er-bla-agonist	NOCAS_49543	NTP Mix88 ER AR1 18-EQP	3	2.4	4.9e-10	1.1e-9	2.4499999999e-9	5.4799999999e-9	1.23e-8	2.74e-8	6.13e-8	1.37e-7	3.07e-7	6.85e-7	1.53e-6	3.43e-6	7.66e-6	1.71e-5	3.8299999999e-5	0.17063941	-0.3137944	-0.29915041	0.09795519	0.25119617	0.17494729	1.1052611	1.4127281	1.9597005	2.62829331	19.17092255	0.20400825	-0.02179259	3.70074494	27.67156589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-er-bla-agonist	NOCAS_49525	NTP Mix105 ER1 10-EQC	3	4	4.9e-10	1.1e-9	2.4499999999e-9	5.4799999999e-9	1.23e-8	2.74e-8	6.13e-8	1.37e-7	3.07e-7	6.85e-7	1.53e-6	3.43e-6	7.66e-6	1.71e-5	3.8299999999e-5	-0.23526498	0	-0.1435922	0.02806707	-0.1076555	-0.04499132	-0.22632519	-0.24417481	-0.30248034	-0.24685263	0.26256564	-0.07435245	-0.0591436	-1.0494751	-0.17282299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
